time,close,high,low,open,volumefrom,volumeto
2018-03-10 04:00:00,9333.16,9354.05,9228.25,9265.28,3082.91,28808763.55
2018-03-10 05:00:00,9366.76,9377.61,9242.44,9332.16,3506.56,32798765.55
2018-03-10 06:00:00,9456.77,9518.62,9366.61,9366.76,6816.78,64835695.6
2018-03-10 07:00:00,9370.57,9477.97,9365.82,9456.06,3874.22,36642807.78
2018-03-10 08:00:00,9356.62,9445.28,9349.89,9370.21,3329.1,31385056.72
2018-03-10 09:00:00,9247.86,9378.22,9246.97,9357.3,4490.11,41904088.79
2018-03-10 10:00:00,9356.02,9366.94,9201.61,9247.86,3024.22,28178874.5
2018-03-10 11:00:00,9377.05,9407.92,9308.08,9356.18,2215.3,20870700.53
2018-03-10 12:00:00,9307.22,9379.4,9269.52,9377.62,2585.87,24212514.65
2018-03-10 13:00:00,9299.41,9341.78,9255.76,9308.33,2325.34,21689329.84
2018-03-10 14:00:00,9450.84,9495.74,9298.81,9298.88,5273.83,50052327.5
2018-03-10 15:00:00,9379.18,9494.1,9361.16,9451.02,3469.32,32876107.82
2018-03-10 16:00:00,9420.13,9434.36,9358.98,9378.92,2248.49,21205516.26
2018-03-10 17:00:00,9168.58,9433.29,9160.1,9420.25,6731.32,62424638.08
2018-03-10 18:00:00,9108.27,9171.25,9000.08,9171.25,8882.84,80910749.65
2018-03-10 19:00:00,9127.13,9149.0,9027.69,9108.27,4350.31,39674394.34
2018-03-10 20:00:00,8872.81,9129.65,8850.56,9127.13,7669.71,68805687.67
2018-03-10 21:00:00,8834.33,8873.89,8784.33,8873.17,6654.76,58901313.98
2018-03-10 22:00:00,8856.11,8894.79,8727.43,8836.62,6514.18,57540920.75
2018-03-10 23:00:00,8797.27,8861.15,8754.43,8856.11,4322.03,38126502.18
2018-03-11 00:00:00,8511.32,8802.33,8484.32,8797.27,11015.89,94911051.35
2018-03-11 01:00:00,8617.01,8672.85,8511.32,8511.32,5636.73,48711391.11
2018-03-11 02:00:00,8741.22,8760.81,8561.04,8617.04,4660.45,40516196.02
